brand,country
APPLE,United States
POCO,China
OnePlus,China
realme,China
vivo,China
MOTOROLA,United States
REDMI,China
Infinix,China
Nokia,Finland
SAMSUNG,South Korea
Micromax,India
MarQ,India
OPPO,China
LAVA,India
Kechaoda,China
Eunity,China
Tecno,United States
Energizer,China
IAIR,Not available
Cellecor,China
IQOO,China
Mi,China
Good,Not available
Itel,United States
Xiaomi,China
GFive,China
DIZO,Pakistan
HOTLINE,India
Peace,India
KARBONN,Not available
UiSmart,Not available
I,India
Snexian,Not available
Google,United States
SAREGAMA,China
,
,
,
,India
