Model_num,Brand,Model,Touchscreen,Display_size
,APPLE,iPhone 13,Yes,6.1
,POCO,C51,Yes,6.52
,OnePlus,Nord CE 2 Lite 5G,Yes,6.59
,realme,11x 5G,Yes,6.72
,POCO,C55,Yes,6.71
,APPLE,iPhone 13,Yes,6.1
,POCO,C51,Yes,6.52
,vivo,T2x 5G,Yes,6.58
,MOTOROLA,g84 5G,Yes,6.55
,realme,11x 5G,Yes,6.72
,vivo,T2x 5G,Yes,6.58
,OnePlus,Nord CE 3 Lite 5G,Yes,6.72
,POCO,C55,Yes,6.71
,POCO,C51,Yes,6.52
,REDMI,12,Yes,6.79
,POCO,C55,Yes,6.71
,Infinix,SMART 7,Yes,6.6
,MOTOROLA,g13,Yes,6.5
,APPLE,iPhone 13,Yes,6.1
,vivo,T2x 5G,Yes,6.58
,Infinix,HOT 30i,Yes,6.6
,Infinix,HOT 30i,Yes,6.6
,Infinix,HOT 30i,Yes,6.6
,Infinix,HOT 30i,Yes,6.1
,APPLE,iPhone 13,Yes,6.6
,Infinix,HOT 30i,Yes,6.74
,realme,C53,Yes,6.78
,vivo,V29e 5G,Yes,6.6
,Infinix,HOT 30i,Yes,6.7
,realme,11 Pro+ 5G,Yes,6.55
,MOTOROLA,g84 5G,Yes,6.71
,POCO,C55,Yes,6.71
,POCO,C55,Yes,6.79
,POCO,M6 Pro 5G,Yes,6.78
,vivo,V29e 5G,Yes,6.78
,vivo,V29e 5G,Yes,6.74
,realme,C53,Yes,6.74
,realme,C53,Yes,6.52
,REDMI,A2,Yes,6.52
,REDMI,A2,Yes,6.5
,MOTOROLA,g14,Yes,6.74
,realme,C53,Yes,6.52
,REDMI,A2,Yes,6.5
,MOTOROLA,e13,Yes,6.5
,MOTOROLA,Edge 40,Yes,6.7
,realme,11 Pro+ 5G,Yes,1.77
,Nokia,"105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",No,6.52
,REDMI,A2,Yes,6.6
,SAMSUNG,Galaxy F13,Yes,6.5
,MOTOROLA,e32,Yes,6.78
,Infinix,Note 30 5G,Yes,6.52
,REDMI,A2,Yes,6.5
,MOTOROLA,g54 5G,Yes,6.7
,OPPO,Reno10 5G,Yes,6.7
,OPPO,Reno10 5G,Yes,6.1
,APPLE,iPhone 14,Yes,6.79
,POCO,M6 Pro 5G,Yes,6.79
,REDMI,12 5G,Yes,6.79
,REDMI,12 5G,Yes,6.1
,APPLE,Iphone 15,Yes,6.7
,realme,11 Pro 5G,Yes,6.1
,APPLE,iPhone 11,Yes,6.5
,MOTOROLA,g54 5G,Yes,6.72
,OnePlus,Nord CE 3 Lite 5G,Yes,6.72
,OnePlus,Nord CE 3 Lite 5G,Yes,2
,SAMSUNG,Guru Music 2,No,6.5
,MOTOROLA,g54 5G,Yes,6.59
,OnePlus,Nord CE 2 Lite 5G,Yes,6.78
,Infinix,Note 30 5G,Yes,6.1
,APPLE,iPhone 14,Yes,6.7
,realme,11 Pro+ 5G,Yes,6.6
,Infinix,Smart 7 HD,Yes,6.5
,MOTOROLA,g14,Yes,1.77
,Nokia,"105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",No,6.7
,realme,11 Pro+ 5G,Yes,6.6
,Infinix,Smart 7 HD,Yes,6.78
,Infinix,Note 30 5G,Yes,6.6
,SAMSUNG,Galaxy M14 5G,Yes,6.78
,Infinix,Note 30 5G,Yes,6.5
,MOTOROLA,g54 5G,Yes,6.78
,Infinix,Note 30 5G,Yes,6.5
,MOTOROLA,g14,Yes,6.55
,MOTOROLA,g84 5G,Yes,6.5
,MOTOROLA,e13,Yes,6.5
,MOTOROLA,g54 5G,Yes,6.78
,Infinix,Note 30 5G,Yes,6.58
,POCO,M5,Yes,6.7
,realme,11 Pro 5G,Yes,1.77
,Micromax,X512,No,2.8
,MarQ,M80 Jalwa,No,2
,SAMSUNG,Guru Music 2,No,6.67
,POCO,X5 Pro 5G,Yes,6.5
,MOTOROLA,e13,Yes,2
,SAMSUNG,Guru Music 2,No,6.5
,MOTOROLA,G32,Yes,6.43
,POCO,M4 Pro,Yes,6.78
,Infinix,HOT 30 5G,Yes,6.67
,REDMI,Note 12 Pro 5G,Yes,6.79
,REDMI,12 5G,Yes,1.77
,Micromax,X512,No,6.67
,POCO,X5 5G,Yes,6.43
,OPPO,F21 Pro,Yes,6.67
,POCO,X5 5G,Yes,2.8
,MarQ,M80 Jalwa,No,6.7
,OnePlus,Nord CE3 5G,Yes,6.67
,POCO,X5 5G,Yes,6.78
,Infinix,HOT 30 5G,Yes,6.56
,OPPO,A78 5G,Yes,6.67
,POCO,X5 Pro 5G,Yes,6.79
,REDMI,12 5G,Yes,6.56
,OPPO,A78 5G,Yes,6.72
,realme,10 Pro 5G,Yes,6.7
,OnePlus,11R 5G,Yes,6.58
,POCO,M5,Yes,6.5
,MOTOROLA,e13,Yes,6.72
,realme,10 Pro 5G,Yes,6.67
,MOTOROLA,Edge 30 Ultra,Yes,6.7
,OnePlus,11R 5G,Yes,6.1
,APPLE,iPhone 14,Yes,6.1
